fecha;importados;locales;import_acum;locales_acum;dia_total;acumulado_total
18/3/2020;1;0;1;0;1;1
19/3/2020;0;0;1;0;1;1
20/3/2020;2;0;3;0;2;3
21/3/2020;0;0;3;0;2;3
22/3/2020;0;0;3;0;2;3
23/3/2020;2;0;5;0;2;5
24/3/2020;4;0;9;0;4;9
25/3/2020;2;2;11;2;4;13
26/3/2020;0;0;11;2;4;13
27/3/2020;6;0;17;2;6;19
28/3/2020;4;1;21;3;5;24
29/3/2020;5;1;26;4;6;30
30/3/2020;2;0;28;4;2;32
31/3/2020;0;0;28;4;2;32
1/4/2020;8;1;36;5;9;41
2/4/2020;4;1;40;6;5;46
3/4/2020;10;0;50;6;10;56
4/4/2020;6;0;56;6;6;62
5/4/2020;7;0;63;6;7;69
6/4/2020;9;0;72;6;9;78
7/4/2020;12;3;84;9;15;93
8/4/2020;9;1;93;10;10;103
9/4/2020;12;2;105;12;14;117
10/4/2020;1;0;106;12;1;118
11/4/2020;5;2;111;14;7;125
12/4/2020;4;8;115;22;12;137
13/4/2020;2;10;117;32;12;149
14/4/2020;0;10;117;42;10;159
15/4/2020;0;5;117;47;5;164
16/4/2020;0;13;117;60;13;177
17/4/2020;0;13;117;73;13;190
18/4/2020;0;11;117;84;11;201
19/4/2020;0;17;117;101;17;218
20/4/2020;0;7;117;108;7;225
21/4/2020;0;12;117;120;12;237
22/4/2020;0;13;117;133;13;250
23/4/2020;0;11;117;144;11;261
24/4/2020;0;13;117;157;13;274
25/4/2020;0;24;117;181;24;298
26/4/2020;0;25;117;206;25;323
27/4/2020;0;22;117;228;22;345
28/4/2020;0;32;117;260;32;377
29/4/2020;0;18;117;278;18;395
30/4/2020;0;29;117;307;29;424
1/5/2020;0;22;117;329;22;446
2/5/2020;0;44;117;373;44;490
3/5/2020;0;65;117;438;65;555
4/5/2020;0;32;117;470;32;587
5/5/2020;0;46;117;516;46;633
6/5/2020;0;62;117;578;62;695
7/5/2020;0;47;117;625;47;742
8/5/2020;0;42;117;667;42;784
9/5/2020;0;105;117;772;105;889
10/5/2020;0;69;117;841;69;958
11/5/2020;0;40;117;881;40;998
12/5/2020;0;39;117;920;39;1037
13/5/2020;0;75;117;995;75;1112
14/5/2020;0;98;117;1093;98;1210
15/5/2020;0;55;117;1148;55;1265
16/5/2020;0;73;117;1221;73;1338
17/5/2020;0;75;117;1296;75;1413
18/5/2020;0;85;117;1381;85;1498
19/5/2020;0;73;117;1454;73;1571
20/5/2020;0;69;117;1525;69;1640
