"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"54","Afghanistan",2020-04-21,91,1092,66,36,0,150,15,906,2.8,0.2,2.3,26,16
"68","Albania",2020-04-21,91,609,25,26,0,345,18,238,21.2,0.9,8.3,30,25
"151","Algeria",2020-04-21,91,2811,93,392,8,1152,53,1267,6.4,0.2,2.9,32,33
"208","Andorra",2020-04-21,91,717,0,37,0,282,34,398,931.2,0,516.9,31,22
"243","Angola",2020-04-21,91,24,0,2,0,6,0,16,0.1,0,0,0,0
"281","Antigua and Barbuda",2020-04-21,91,23,0,3,0,7,4,13,23.5,0,13.3,0,0
"285","Argentina",2020-04-21,91,3031,90,147,11,840,103,2044,6.7,0.2,4.5,33,26
"351","Armenia",2020-04-21,91,1401,62,24,2,609,29,768,47.3,2.1,25.9,34,13
"464","Australia",2020-04-21,91,6547,0,67,0,4124,0,2356,25.7,0,9.2,43,27
"506","Austria",2020-04-21,91,14873,78,491,21,10971,340,3411,165.1,0.9,37.9,45,31
"544","Azerbaijan",2020-04-21,91,1480,44,20,1,865,74,595,14.6,0.4,5.9,27,12
"587","Bahrain",2020-04-21,91,1973,66,7,0,784,15,1182,115.9,3.9,69.4,43,0
"674","Bangladesh",2020-04-21,91,3382,434,110,9,87,2,3185,2.1,0.3,1.9,16,16
"713","Barbados",2020-04-21,91,75,0,5,0,25,6,45,26.1,0,15.7,0,0
"772","Belarus",2020-04-21,91,6723,459,55,4,577,63,6091,71.2,4.9,64.5,23,16
"811","Belgium",2020-04-21,91,40956,973,5998,170,9002,107,25956,353.4,8.4,224,47,36
"855","Belize",2020-04-21,91,18,0,2,0,2,0,14,4.5,0,3.5,0,0
"906","Benin",2020-04-21,91,54,0,1,0,27,0,26,0.4,0,0.2,0,0
"924","Bhutan",2020-04-21,91,6,1,0,0,2,0,4,0.8,0.1,0.5,0,0
"992","Bolivia",2020-04-21,91,598,34,34,1,37,6,527,5.1,0.3,4.5,22,18
"1046","Bosnia and Herzegovina",2020-04-21,91,1342,33,51,2,437,56,854,40.9,1,26,31,23
"1064","Botswana",2020-04-21,91,20,0,1,0,0,0,19,0.9,0,0.8,0,0
"1085","Brazil",2020-04-21,91,43079,2336,2741,154,22991,861,17347,20.3,1.1,8.2,40,33
"1154","Brunei",2020-04-21,91,138,0,1,0,116,0,21,31.6,0,4.8,29,0
"1193","Bulgaria",2020-04-21,91,975,46,45,2,170,3,760,14,0.7,10.9,33,21
"1234","Burkina Faso",2020-04-21,91,600,19,38,0,362,5,200,2.9,0.1,1,29,25
"1278","Burma",2020-04-21,91,121,2,5,0,7,0,109,0.2,0,0.2,3,0
"1295","Burundi",2020-04-21,91,5,0,1,0,4,0,0,0,0,0,0,0
"1374","Cambodia",2020-04-21,91,122,0,0,0,110,3,12,0.7,0,0.1,24,0
"1419","Cameroon",2020-04-21,91,1163,0,43,1,329,24,791,4.4,0,3,24,14
"1522","Canada",2020-04-21,91,39401,1744,1908,183,13188,645,24305,104.4,4.6,64.4,42,33
"1543","Cape Verde",2020-04-21,91,68,1,1,0,1,0,66,12.2,0.2,11.9,0,0
"1606","Central African Republic",2020-04-21,91,14,2,0,0,10,6,4,0.3,0,0.1,0,0
"1611","Chad",2020-04-21,91,33,0,0,0,8,0,25,0.2,0,0.2,0,0
"1671","Chile",2020-04-21,91,10832,325,147,8,4969,293,5716,56.7,1.7,29.9,37,22
"1708","Colombia",2020-04-21,91,4149,172,196,7,804,0,3149,8.2,0.3,6.2,34,24
"1777","Costa Rica",2020-04-21,91,669,7,6,0,150,26,513,13.1,0.1,10.1,32,0
"1792","Cote d'Ivoire",2020-04-21,91,916,69,13,4,303,43,600,3.5,0.3,2.3,26,1
"1855","Croatia",2020-04-21,91,1908,27,48,1,801,30,1059,46.5,0.7,25.8,34,18
"1915","Cuba",2020-04-21,91,1137,50,38,2,309,24,790,10,0.4,7,25,15
"1947","Cyprus",2020-04-21,91,784,12,12,0,98,17,674,65,1,55.8,30,16
"2004","Czech Republic",2020-04-21,91,7033,133,201,7,1753,194,5079,65.7,1.2,47.4,40,25
"2021","Democratic Republic of the Congo",2020-04-21,91,350,18,25,0,35,8,290,0.4,0,0.3,21,20
"2091","Denmark",2020-04-21,91,7891,180,370,6,4889,390,2632,136.2,3.1,45.4,43,32
"2128","Diamond Princess Cruise Ship",2020-04-21,91,712,0,13,0,644,0,55,19186.2,0,1482.1,72,29
"2202","Djibouti",2020-04-21,91,945,99,2,0,112,10,831,95.6,10,84.1,14,0
"2228","Dominica",2020-04-21,91,16,0,0,0,8,0,8,22.2,0,11.1,0,0
"2297","Dominican Republic",2020-04-21,91,5044,80,245,10,463,47,4336,46.5,0.7,40,32,28
"2353","Ecuador",2020-04-21,91,10398,270,520,13,1207,57,8671,58.9,1.5,49.1,35,31
"2421","Egypt",2020-04-21,91,3490,157,264,14,870,49,2356,3.4,0.2,2.3,39,32
"2447","El Salvador",2020-04-21,91,225,7,7,0,48,2,170,3.5,0.1,2.6,13,0
"2485","Equatorial Guinea",2020-04-21,91,83,4,0,0,7,0,76,5.9,0.3,5.4,0,0
"2507","Eritrea",2020-04-21,91,39,0,0,0,6,3,33,1.1,0,0.9,0,0
"2563","Estonia",2020-04-21,91,1552,17,43,3,169,4,1340,117,1.3,101,39,20
"2599","Eswatini",2020-04-21,91,31,7,1,0,8,0,22,2.7,0.6,1.9,0,0
"2665","Ethiopia",2020-04-21,91,114,3,3,0,16,0,95,0.1,0,0.1,4,0
"2677","Fiji",2020-04-21,91,18,0,0,0,3,0,15,2,0,1.7,0,0
"2784","Finland",2020-04-21,91,4014,146,141,43,2000,0,1873,72.4,2.6,33.8,40,24
"2824","France",2020-04-21,91,159297,2817,20829,537,39819,1783,98649,244,4.3,151.1,53,46
"2899","Gabon",2020-04-21,91,156,36,1,0,16,9,139,7,1.6,6.2,5,0
"2947","Georgia",2020-04-21,91,408,6,4,0,97,2,307,10.2,0.2,7.7,23,0
